,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸À²,BABIP,º¼³Ý%,»ïÁø%,º¼/»ï,ISO,Å¸¼ö/È¨·±,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
137,2015,04,15,NC,1,34,0.100,0.136,11.8,23.5,0.50,0.033,-,0.339,1.36,1.36,-0.90,4.52,0.52,0.177,-5.27
138,2015,04,16,NC,1,41,0.405,0.517,2.4,22.0,0.11,0.081,-,0.896,7.16,7.43,6.88,3.05,0.03,0.390,1.62
139,2015,04,16,SK,1,43,0.313,0.375,18.6,18.6,1.00,0.125,32.00,0.903,7.79,8.77,8.26,4.03,0.22,0.417,2.73
140,2015,04,16,LG,1,45,0.207,0.222,28.9,22.2,1.30,0.207,14.50,0.869,8.11,8.76,8.12,6.17,0.55,0.404,2.34
141,2015,04,16,KIA,1,44,0.378,0.483,13.6,20.4,0.67,0.054,-,0.887,7.81,8.43,8.06,1.64,0.05,0.407,2.40
142,2015,04,16,·Ôµ¥,1,36,0.194,0.182,13.9,19.4,0.71,0.193,15.50,0.693,3.72,3.72,3.46,1.07,0.52,0.311,-1.16
143,2015,04,16,Hero,1,30,0.037,0.050,3.3,23.3,0.14,0.000,-,0.140,0.20,0.20,-3.33,1.81,0.01,0.083,-7.18
144,2015,04,17,ÇÑÈ­,1,41,0.400,0.419,7.3,12.2,0.60,0.229,35.00,1.054,10.09,11.35,9.02,8.08,0.03,0.448,3.75
145,2015,04,17,µÎ»ê,1,44,0.385,0.438,9.1,13.6,0.67,0.153,39.00,0.993,10.14,11.40,9.54,5.05,0.05,0.444,3.89
146,2015,04,17,LG,1,38,0.265,0.227,2.6,21.0,0.12,0.382,8.50,0.971,6.74,6.74,6.95,2.50,0.02,0.407,2.07
147,2015,04,17,»ï¼º,1,38,0.258,0.292,15.8,15.8,1.00,0.129,31.00,0.782,5.44,5.87,5.50,6.31,0.70,0.365,0.62
148,2015,04,17,Hero,1,39,0.258,0.333,12.8,18.0,0.71,0.129,-,0.782,5.33,5.76,5.70,4.78,0.20,0.366,0.69
149,2015,04,17,SK,1,35,0.258,0.348,5.7,22.9,0.25,0.000,-,0.601,2.32,2.41,2.87,-1.04,0.03,0.296,-1.62
150,2015,04,17,NC,1,40,0.212,0.200,5.0,17.5,0.29,0.212,16.50,0.749,5.23,5.23,4.72,8.48,0.03,0.335,-0.42
151,2015,04,17,KT,1,37,0.206,0.280,5.4,24.3,0.22,0.059,-,0.535,2.92,2.92,1.59,4.38,0.36,0.253,-3.16
152,2015,04,17,KIA,1,39,0.188,0.250,15.4,20.5,0.75,0.000,-,0.504,2.49,2.49,1.91,3.06,0.03,0.259,-3.10
153,2015,04,17,·Ôµ¥,1,33,0.138,0.143,12.1,21.2,0.57,0.138,29.00,0.518,1.64,1.64,1.07,-2.00,0.02,0.241,-3.17
154,2015,04,18,SK,1,38,0.389,0.429,2.6,15.8,0.17,0.278,18.00,1.088,9.88,11.60,9.11,4.07,0.19,0.469,4.23
155,2015,04,18,ÇÑÈ­,1,42,0.308,0.292,11.9,7.1,1.67,0.230,26.00,0.997,8.18,9.20,8.53,7.92,0.20,0.429,3.13
156,2015,04,18,Hero,1,40,0.286,0.360,7.5,22.5,0.33,0.200,35.00,0.845,6.03,6.03,6.11,3.63,0.03,0.374,0.97
157,2015,04,18,»ï¼º,1,38,0.267,0.269,15.8,7.9,2.00,0.200,30.00,0.872,6.55,7.69,6.17,3.91,0.19,0.384,1.29
158,2015,04,18,µÎ»ê,1,34,0.258,0.280,2.9,17.6,0.17,0.161,31.00,0.713,3.30,3.43,3.27,6.10,0.02,0.311,-1.10
159,2015,04,18,·Ôµ¥,1,41,0.361,0.500,4.9,26.8,0.18,0.083,-,0.844,6.71,6.97,6.60,8.65,0.21,0.383,1.33
160,2015,04,18,NC,1,38,0.333,0.355,2.6,13.2,0.20,0.111,36.00,0.786,5.92,6.39,4.84,5.04,0.20,0.346,-0.04
161,2015,04,18,KIA,1,35,0.212,0.304,5.7,28.6,0.20,0.091,-,0.560,2.10,2.03,1.65,3.24,0.02,0.257,-2.85
162,2015,04,18,LG,1,36,0.182,0.208,8.3,22.2,0.38,0.151,33.00,0.583,2.95,2.95,1.84,3.69,0.02,0.262,-2.79
163,2015,04,18,KT,1,33,0.138,0.200,12.1,27.3,0.44,0.034,-,0.414,1.50,1.56,0.13,2.47,0.35,0.210,-4.11
164,2015,04,19,Hero,1,50,0.458,0.528,2.0,18.0,0.11,0.438,16.00,1.365,20.14,20.14,16.92,7.59,0.03,0.578,10.50
165,2015,04,19,KIA,1,37,0.229,0.292,5.4,27.0,0.20,0.114,35.00,0.613,3.17,3.06,2.35,3.11,0.19,0.275,-2.41
