,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,ÆÀ½Â,ÆÀ¹«,ÆÀÆÐ,RA/G,½ÇÁ¡,ÀÚÃ¥,ÇÇÈ¨·±,º¼³Ý%,»ïÁø%,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
165,2015,4,19,KIA,0,0,1,15.0,15,15,3,2.0,18.0,0.528,42.6,15.0,-0.51,6.34,5.98,-0.03
166,2015,4,21,Hero,1,0,0,0.0,0,0,0,5.7,25.7,0.25,100.0,0.0,0.64,2.34,2.02,0.31
167,2015,4,21,LG,1,0,0,0.0,0,0,0,3.0,27.3,0.182,100.0,0.0,0.71,2.34,2.03,0.5
168,2015,4,21,»ï¼º,1,0,0,0.0,0,0,0,0.0,30.0,0.095,100.0,0.0,0.71,1.67,1.25,0.44
169,2015,4,21,KIA,1,0,0,2.0,2,2,0,15.8,21.1,0.273,83.3,2.0,0.66,3.89,3.89,0.23
170,2015,4,21,SK,1,0,0,3.0,3,3,0,12.5,25.0,0.36,78.6,3.0,0.32,3.11,2.84,0.24
171,2015,4,21,·Ôµ¥,0,0,1,3.0,3,3,0,3.2,22.6,0.318,62.5,3.38,0.25,2.29,2.05,0.32
172,2015,4,21,NC,0,0,1,5.0,5,5,1,12.5,7.5,0.31,75.3,5.0,0.05,6.45,7.01,-0.12
173,2015,4,21,KT,0,0,1,9.0,9,8,0,15.6,17.8,0.345,50.0,8.0,-0.14,4.56,4.67,0.09
174,2015,4,21,ÇÑÈ­,0,0,1,10.0,10,9,0,16.7,7.1,0.355,44.4,10.12,-0.22,5.17,5.71,0.02
175,2015,4,21,µÎ»ê,0,0,1,12.0,12,11,3,6.5,32.6,0.5,43.5,12.38,-0.36,6.29,5.27,-0.1
176,2015,4,22,KT,1,0,0,0.0,0,0,0,10.5,26.3,0.348,100.0,0.0,1.13,2.78,2.46,0.49
177,2015,4,22,»ï¼º,1,0,0,2.0,2,2,1,8.6,31.4,0.25,92.1,2.0,0.45,3.67,3.19,0.3
178,2015,4,22,ÇÑÈ­,1,0,0,2.0,2,2,1,10.5,21.1,0.32,94.8,2.0,0.67,4.67,4.57,0.24
179,2015,4,22,·Ôµ¥,1,0,0,6.0,6,6,0,9.1,13.6,0.406,66.7,6.0,0.33,4.0,4.18,0.18
180,2015,4,22,µÎ»ê,1,0,0,9.0,9,8,3,4.7,20.9,0.37,59.3,8.0,-0.39,7.0,6.76,-0.27
181,2015,4,22,SK,0,0,1,2.0,2,2,1,14.7,32.4,0.375,94.8,2.25,0.41,4.79,4.37,0.19
182,2015,4,22,LG,0,0,1,5.0,5,5,1,13.5,21.6,0.2,58.1,5.0,0.12,5.0,4.95,0.05
183,2015,4,22,NC,0,0,1,6.0,6,6,2,14.6,19.5,0.28,73.8,6.0,0.02,6.78,6.79,-0.07
184,2015,4,22,KIA,0,0,1,7.0,7,7,2,8.1,16.2,0.2,48.8,7.0,-0.06,6.56,6.69,-0.09
185,2015,4,22,Hero,0,0,1,12.0,12,12,5,7.0,16.3,0.385,58.3,12.0,-0.39,10.67,10.71,-0.32
186,2015,4,23,SK,1,0,0,2.0,2,2,1,2.9,23.5,0.25,90.9,2.0,0.47,3.67,3.41,0.22
187,2015,4,23,LG,1,0,0,2.0,2,2,1,10.5,21.1,0.20800000000000002,93.8,2.0,0.43,5.0,4.97,0.07
188,2015,4,23,»ï¼º,1,0,0,4.0,4,4,0,10.3,12.8,0.31,69.2,4.0,0.19,3.89,4.11,0.13
189,2015,4,23,µÎ»ê,1,0,0,5.0,5,5,0,15.0,25.0,0.409,66.7,5.0,0.21,3.45,3.23,0.26
190,2015,4,23,KIA,1,0,0,6.0,6,6,2,7.5,2.5,0.25,73.8,6.0,0.03,8.0,8.75,-0.17
