,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸À²,BABIP,º¼³Ý%,»ïÁø%,º¼/»ï,ISO,Å¸¼ö/È¨·±,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
94,2015,4,10,·Ôµ¥,1,50,0.23800000000000002,0.4,12.0,40.0,0.30,0.214,21.00,0.812,7.96,6.72,7.21,6.78,0.37,0.364,0.79
95,2015,4,10,Hero,1,34,0.222,0.278,14.7,23.5,0.62,0.14800000000000002,27.00,0.7140000000000001,3.63,4.08,3.81,4.31,0.03,0.32899999999999996,-0.56
96,2015,4,10,SK,1,38,0.207,0.24,13.2,13.2,1.00,0.0,-,0.5579999999999999,2.8,2.91,2.88,1.81,0.04,0.289,-2.0
97,2015,4,10,ÇÑÈ­,1,50,0.311,0.39399999999999996,6.0,24.0,0.25,0.133,45.00,0.7909999999999999,6.55,5.05,6.54,1.81,0.04,0.349,0.11
98,2015,4,10,KIA,1,47,0.25,0.34600000000000003,10.6,27.7,0.38,0.15,40.00,0.748,5.69,4.8,5.41,1.11,0.03,0.332,-0.63
99,2015,4,10,µÎ»ê,1,35,0.16699999999999998,0.2,14.3,14.3,1.00,0.033,-,0.486,1.91,1.91,1.25,1.47,0.36,0.245,-3.25
100,2015,4,10,KT,1,33,0.156,0.313,0.0,48.5,0.00,0.0,-,0.33799999999999997,0.96,0.96,-1.28,1.81,0.02,0.163,-5.52
101,2015,4,10,NC,1,31,0.071,0.105,6.4,29.0,0.22,0.036000000000000004,-,0.268,0.45,0.45,-2.33,4.71,0.01,0.12300000000000001,-6.31
102,2015,4,11,»ï¼º,1,37,0.313,0.348,13.5,18.9,0.71,0.25,16.00,0.968,7.7,9.03,7.25,2.96,0.36,0.42100000000000004,2.5
103,2015,4,11,µÎ»ê,1,46,0.3,0.306,8.7,8.7,1.00,0.175,40.00,0.845,8.08,7.52,7.06,9.16,0.37,0.374,1.15
104,2015,4,11,KT,1,44,0.27,0.32299999999999995,11.4,13.6,0.83,0.081,-,0.723,5.67,5.47,5.47,8.23,0.21,0.342,-0.18
105,2015,4,11,ÇÑÈ­,1,38,0.235,0.231,7.9,15.8,0.50,0.20600000000000002,17.00,0.738,4.56,4.4,4.05,3.32,0.36,0.32299999999999995,-0.83
106,2015,4,11,NC,1,36,0.185,0.2,16.7,8.3,2.00,0.0,-,0.528,2.71,3.04,1.93,5.18,0.2,0.265,-2.7
107,2015,4,11,LG,1,38,0.303,0.308,5.3,13.2,0.40,0.212,16.50,0.893,6.03,6.26,6.55,2.38,0.2,0.395,1.66
108,2015,4,11,Hero,1,38,0.257,0.391,7.9,31.6,0.25,0.0,-,0.573,3.09,3.21,2.39,3.48,0.03,0.275,-2.49
