,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
1423,2018,백용환,KIA,포수,28,12,119.33333333333331,2,0,85,8,2,0.9790000000000001,2,9,4,30.8,0.27699999999999997,57,47,7,13,1,0,0,14,4,1,0
1429,2018,신범수,KIA,포수,17,3,52.66666666666666,0,0,46,4,1,1.0,1,4,1,20.0,0.16,26,25,0,4,2,1,0,8,4,0,1
1439,2018,장성우,KT,포수,122,107,894.6666666666665,9,0,744,50,5,0.9890000000000001,17,64,21,24.7,0.258,393,356,41,92,13,0,13,144,48,1,2
1448,2018,이해창,KT,포수,72,36,353.66666666666674,2,1,277,31,4,0.9940000000000001,3,33,11,25.0,0.21600000000000003,174,162,19,35,4,0,8,63,24,1,0
1466,2018,이준수,KT,포수,11,1,26.0,0,0,20,1,0,1.0,1,2,0,0.0,0.25,10,8,0,2,0,0,0,2,1,1,0
1475,2018,유강남,LG,포수,126,109,952.0,7,0,783,53,9,0.992,6,78,26,25.0,0.29600000000000004,465,425,53,126,33,0,19,216,66,2,1
1490,2018,정상호,LG,포수,65,35,313.6666666666667,1,0,295,16,3,0.997,4,22,7,24.1,0.223,128,112,11,25,4,0,1,32,9,3,0
1514,2018,정범모,NC,포수,103,78,619.6666666666666,4,0,526,40,4,0.993,6,39,19,32.8,0.179,219,190,20,34,9,0,4,55,18,7,3
1520,2018,김형준,NC,포수,60,25,254.66666666666663,5,1,215,17,3,0.9790000000000001,6,17,8,32.0,0.16,89,81,6,13,1,0,0,14,2,0,0
1530,2018,윤수강,NC,포수,44,27,214.33333333333331,2,0,172,14,2,0.9890000000000001,5,16,7,30.4,0.192,79,73,8,14,6,0,1,23,8,1,0
1538,2018,박광열,NC,포수,23,6,88.33333333333331,1,0,69,6,0,0.987,0,6,3,33.3,0.16,30,25,3,4,0,0,0,4,1,1,0
