,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,R/G,µæÁ¡,È¨·±,µµ·ç,º¼³Ý%,»ïÁø%,BABIP,Å¸À²,Ãâ·çÀ²,ÀåÅ¸À²,OPS,wOBA
162,2015,4,18,LG,4.0,4,1,0,8.3,22.2,0.20800000000000002,0.182,0.25,0.33299999999999996,0.583,0.262
163,2015,4,18,KT,1.0,1,0,2,12.1,27.3,0.2,0.138,0.242,0.172,0.414,0.21
164,2015,4,19,Hero,15.0,15,3,0,2.0,18.0,0.528,0.45799999999999996,0.469,0.8959999999999999,1.365,0.578
165,2015,4,19,KIA,4.0,4,1,1,5.4,27.0,0.292,0.22899999999999998,0.27,0.34299999999999997,0.613,0.275
166,2015,4,21,Hero,12.0,12,3,0,6.5,32.6,0.5,0.359,0.409,0.59,0.9990000000000001,0.43
167,2015,4,21,LG,10.0,10,0,3,16.7,7.1,0.355,0.33299999999999996,0.439,0.364,0.8029999999999999,0.37
168,2015,4,21,»ï¼º,5.0,5,1,0,12.5,7.5,0.31,0.313,0.41,0.43799999999999994,0.848,0.384
169,2015,4,21,SK,9.0,9,0,1,15.6,17.8,0.345,0.27,0.4,0.324,0.7240000000000001,0.35
170,2015,4,21,KIA,3.0,3,0,0,3.2,22.6,0.318,0.24100000000000002,0.267,0.31,0.5770000000000001,0.262
171,2015,4,21,KT,3.0,3,0,1,12.5,25.0,0.36,0.257,0.35,0.314,0.664,0.315
172,2015,4,21,·Ôµ¥,2.0,2,0,1,15.8,21.0,0.273,0.2,0.33299999999999996,0.233,0.5660000000000001,0.284
173,2015,4,21,µÎ»ê,0.0,0,0,0,5.7,25.7,0.25,0.182,0.22899999999999998,0.242,0.47100000000000003,0.21899999999999997
174,2015,4,21,ÇÑÈ­,0.0,0,0,1,3.0,27.3,0.182,0.129,0.182,0.129,0.311,0.157
175,2015,4,21,NC,0.0,0,0,0,0.0,30.0,0.095,0.067,0.067,0.133,0.2,0.087
176,2015,4,22,µÎ»ê,12.0,12,5,1,7.0,16.3,0.385,0.395,0.452,0.9209999999999999,1.3730000000000002,0.565
177,2015,4,22,»ï¼º,6.0,6,2,0,14.6,19.5,0.28,0.265,0.366,0.5589999999999999,0.925,0.39399999999999996
178,2015,4,22,KT,2.0,2,1,1,14.7,32.4,0.375,0.25,0.382,0.46399999999999997,0.846,0.38
179,2015,4,22,·Ôµ¥,7.0,7,2,1,8.1,16.2,0.2,0.212,0.297,0.455,0.752,0.32799999999999996
180,2015,4,22,ÇÑÈ­,5.0,5,1,3,13.5,21.6,0.2,0.179,0.294,0.28600000000000003,0.58,0.272
181,2015,4,22,KIA,6.0,6,0,0,9.1,13.6,0.406,0.342,0.419,0.42100000000000004,0.84,0.38799999999999996
182,2015,4,22,Hero,9.0,9,3,0,4.6,20.9,0.37,0.33299999999999996,0.381,0.615,0.996,0.428
183,2015,4,22,LG,2.0,2,1,1,10.5,21.0,0.32,0.265,0.342,0.41200000000000003,0.754,0.34
184,2015,4,22,SK,0.0,0,0,1,10.5,26.3,0.348,0.242,0.324,0.242,0.5660000000000001,0.27699999999999997
185,2015,4,22,NC,2.0,2,1,4,8.6,31.4,0.25,0.188,0.257,0.281,0.5379999999999999,0.249
186,2015,4,23,»ï¼º,14.0,14,1,2,8.7,15.2,0.41200000000000003,0.375,0.413,0.6,1.013,0.431
187,2015,4,23,KIA,7.0,7,1,0,13.3,24.4,0.5,0.368,0.467,0.5,0.9670000000000001,0.425
188,2015,4,23,LG,5.0,5,0,2,12.2,9.8,0.4,0.353,0.436,0.41200000000000003,0.848,0.39299999999999996
189,2015,4,23,µÎ»ê,7.0,7,2,1,14.6,12.2,0.259,0.273,0.39,0.485,0.875,0.386
190,2015,4,23,SK,3.0,3,0,1,15.0,17.5,0.26899999999999996,0.212,0.33299999999999996,0.242,0.575,0.27399999999999997
191,2015,4,23,Hero,5.0,5,0,0,15.0,25.0,0.409,0.29,0.395,0.387,0.782,0.359
192,2015,4,23,·Ôµ¥,6.0,6,2,2,7.5,2.5,0.25,0.28600000000000003,0.375,0.486,0.861,0.384
193,2015,4,23,NC,4.0,4,0,0,10.3,12.8,0.31,0.265,0.342,0.353,0.695,0.321
194,2015,4,23,KT,2.0,2,1,1,2.9,23.5,0.25,0.212,0.235,0.33299999999999996,0.568,0.251
195,2015,4,23,ÇÑÈ­,2.0,2,1,1,10.5,21.0,0.20800000000000002,0.182,0.289,0.303,0.5920000000000001,0.278
196,2015,4,24,NC,11.0,11,3,1,0.0,12.2,0.33299999999999996,0.35100000000000003,0.375,0.73,1.105,0.461
197,2015,4,24,µÎ»ê,7.0,7,0,0,5.0,17.5,0.414,0.34299999999999997,0.4,0.457,0.857,0.38799999999999996
198,2015,4,24,Hero,9.0,9,3,1,13.0,17.4,0.321,0.308,0.413,0.59,1.003,0.434
199,2015,4,24,·Ôµ¥,5.0,5,2,0,6.1,30.3,0.316,0.276,0.303,0.552,0.855,0.35100000000000003
200,2015,4,24,ÇÑÈ­,2.0,2,1,0,6.9,13.8,0.28600000000000003,0.26899999999999996,0.321,0.462,0.7829999999999999,0.34299999999999997
201,2015,4,24,KT,2.0,2,0,1,2.8,30.6,0.304,0.20600000000000002,0.25,0.324,0.574,0.261
202,2015,4,24,»ï¼º,3.0,3,1,1,3.2,29.0,0.25,0.2,0.226,0.36700000000000005,0.593,0.257
203,2015,4,24,LG,3.0,3,1,0,0.0,17.1,0.214,0.2,0.2,0.314,0.514,0.223
204,2015,4,24,SK,0.0,0,0,0,18.0,28.2,0.316,0.2,0.368,0.233,0.601,0.308
205,2015,4,24,KIA,3.0,3,0,0,10.3,23.1,0.24,0.17600000000000002,0.282,0.235,0.517,0.253
206,2015,4,25,·Ôµ¥,12.0,12,5,0,16.7,14.3,0.348,0.382,0.488,0.971,1.459,0.586
